fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Api Power Company Ltd.","API",906,286,295,285.2,289.56,"2025-04-17"
"Api Power Company Ltd.","API",685,286,288,278.5,285.86,"2025-04-16"
"Api Power Company Ltd.","API",683,272.3,285.7,272.2,283.48,"2025-04-15"
"Api Power Company Ltd.","API",342,272,275.39,270.2,273.08,"2025-04-13"
"Api Power Company Ltd.","API",319,274,276,271,271.83,"2025-04-10"
"Api Power Company Ltd.","API",283,273,274.39,269.1,269.99,"2025-04-09"
"Api Power Company Ltd.","API",534,270,272,266.7,270.1,"2025-04-08"
"Api Power Company Ltd.","API",394,276,277.5,268.7,270.23,"2025-04-07"
"Api Power Company Ltd.","API",443,276.1,281.5,273.5,274.86,"2025-04-03"
"Api Power Company Ltd.","API",448,273,283.5,270,278.86,"2025-04-02"
"Api Power Company Ltd.","API",418,280,280,270.2,272.32,"2025-04-01"
"Api Power Company Ltd.","API",595,271,278.89,268.1,275.01,"2025-03-30"
"Api Power Company Ltd.","API",457,266,272.6,266,270.7,"2025-03-27"
"Api Power Company Ltd.","API",386,263,269.89,263,268.45,"2025-03-26"
"Api Power Company Ltd.","API",785,268,268,260,262.16,"2025-03-25"
"Api Power Company Ltd.","API",554,270,271.8,262,269.64,"2025-03-24"
"Api Power Company Ltd.","API",765,277,277,266,266.52,"2025-03-23"
"Api Power Company Ltd.","API",508,274.9,277,270.1,274.21,"2025-03-20"
"Api Power Company Ltd.","API",422,280,281.6,273,274.9,"2025-03-19"
"Api Power Company Ltd.","API",444,280,282,277,278.1,"2025-03-18"
"Api Power Company Ltd.","API",429,281,283.1,279,279.2,"2025-03-17"
"Api Power Company Ltd.","API",530,284.5,285.8,278.6,281,"2025-03-16"
"Api Power Company Ltd.","API",452,278.4,285.8,278.4,283,"2025-03-12"
"Api Power Company Ltd.","API",685,283,286,279.7,280,"2025-03-11"
"Api Power Company Ltd.","API",802,293.1,295.9,284,286,"2025-03-10"
"Api Power Company Ltd.","API",1058,299.5,299.5,289.2,291,"2025-03-09"
"Api Power Company Ltd.","API",708,292,295.8,292,294,"2025-03-06"
"Api Power Company Ltd.","API",1154,302,302,288,291.3,"2025-03-05"
"Api Power Company Ltd.","API",1418,300,308,297.5,297.9,"2025-03-04"
"Api Power Company Ltd.","API",1415,310,310.9,300,300.2,"2025-03-03"
"Api Power Company Ltd.","API",1947,300,308.9,300,305.5,"2025-03-02"
"Api Power Company Ltd.","API",1667,284,298,282,297.9,"2025-02-27"
"Api Power Company Ltd.","API",530,283,284,280,281.6,"2025-02-25"
"Api Power Company Ltd.","API",740,278.9,283,278,280,"2025-02-24"
"Api Power Company Ltd.","API",681,276,281,271,278.9,"2025-02-23"
