fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"CENTRAL FINANCE COMPANY LTD.","CFCL",164,612,624,598,600.51,"2025-04-09"
"CENTRAL FINANCE COMPANY LTD.","CFCL",252,588,623,578.29,600.2,"2025-04-08"
"CENTRAL FINANCE COMPANY LTD.","CFCL",410,613,615,586,590.1,"2025-04-07"
"CENTRAL FINANCE COMPANY LTD.","CFCL",666,625.8,651,610,613.21,"2025-04-03"
"CENTRAL FINANCE COMPANY LTD.","CFCL",687,563,613.6,554,613.6,"2025-04-02"
"CENTRAL FINANCE COMPANY LTD.","CFCL",185,567.4,590,551,557.82,"2025-04-01"
"CENTRAL FINANCE COMPANY LTD.","CFCL",236,542,577.9,542,567.42,"2025-03-30"
"CENTRAL FINANCE COMPANY LTD.","CFCL",153,541,559.5,541,552.11,"2025-03-27"
"CENTRAL FINANCE COMPANY LTD.","CFCL",135,544,550,540.2,544.19,"2025-03-26"
"CENTRAL FINANCE COMPANY LTD.","CFCL",221,562,562,535.4,538.08,"2025-03-25"
"CENTRAL FINANCE COMPANY LTD.","CFCL",307,526,573.1,526,560.66,"2025-03-24"
"CENTRAL FINANCE COMPANY LTD.","CFCL",259,550,557,535,535.78,"2025-03-23"
"CENTRAL FINANCE COMPANY LTD.","CFCL",213,543,563,543,552.88,"2025-03-20"
"CENTRAL FINANCE COMPANY LTD.","CFCL",204,567,582.8,554,554,"2025-03-19"
"CENTRAL FINANCE COMPANY LTD.","CFCL",120,566.5,589.5,566.5,578.3,"2025-03-18"
"CENTRAL FINANCE COMPANY LTD.","CFCL",243,558.6,592.2,558.6,578,"2025-03-17"
"CENTRAL FINANCE COMPANY LTD.","CFCL",361,609.9,609.9,568.4,570,"2025-03-16"
"CENTRAL FINANCE COMPANY LTD.","CFCL",226,596.5,613.6,596.5,598,"2025-03-12"
"CENTRAL FINANCE COMPANY LTD.","CFCL",249,609.5,623,596,596.5,"2025-03-11"
"CENTRAL FINANCE COMPANY LTD.","CFCL",190,615,627,607,607.1,"2025-03-10"
"CENTRAL FINANCE COMPANY LTD.","CFCL",303,619.8,649,609,611,"2025-03-09"
"CENTRAL FINANCE COMPANY LTD.","CFCL",212,631.5,631.5,615.1,619.8,"2025-03-06"
"CENTRAL FINANCE COMPANY LTD.","CFCL",283,643,643,619,622.1,"2025-03-05"
"CENTRAL FINANCE COMPANY LTD.","CFCL",309,647,653,631,634,"2025-03-04"
"CENTRAL FINANCE COMPANY LTD.","CFCL",438,674.9,674.9,646,649.9,"2025-03-03"
"CENTRAL FINANCE COMPANY LTD.","CFCL",478,672,672,656.1,663.1,"2025-03-02"
"CENTRAL FINANCE COMPANY LTD.","CFCL",437,667,676.9,651,659.5,"2025-02-27"
"CENTRAL FINANCE COMPANY LTD.","CFCL",969,646.6,668,640,654,"2025-02-25"
"CENTRAL FINANCE COMPANY LTD.","CFCL",379,645,651,620,634,"2025-02-24"
"CENTRAL FINANCE COMPANY LTD.","CFCL",779,603.7,646.6,593,633,"2025-02-23"
"CENTRAL FINANCE COMPANY LTD.","CFCL",465,627,640.9,608,616,"2025-02-20"
"CENTRAL FINANCE COMPANY LTD.","CFCL",644,629,642,615,615,"2025-02-18"
"CENTRAL FINANCE COMPANY LTD.","CFCL",894,670.1,670.1,625,627,"2025-02-17"
"CENTRAL FINANCE COMPANY LTD.","CFCL",847,645,672.7,635,657,"2025-02-16"
"CENTRAL FINANCE COMPANY LTD.","CFCL",1500,686,699.9,643,656,"2025-02-13"
"CENTRAL FINANCE COMPANY LTD.","CFCL",715,663,686,660,673,"2025-02-12"
"CENTRAL FINANCE COMPANY LTD.","CFCL",558,668,681,660,664.8,"2025-02-11"
"CENTRAL FINANCE COMPANY LTD.","CFCL",1273,686.6,701,650,655.1,"2025-02-10"
