fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Laxmi Sunrise Bank Limited","LSL",320,224.9,225,220.3,223.65,"2025-04-17"
"Laxmi Sunrise Bank Limited","LSL",221,222.8,223,216.7,222.49,"2025-04-16"
"Laxmi Sunrise Bank Limited","LSL",186,222.2,222.2,216,218.47,"2025-04-15"
"Laxmi Sunrise Bank Limited","LSL",122,219,219.9,216.3,217.91,"2025-04-13"
"Laxmi Sunrise Bank Limited","LSL",216,220,222,216.4,217.71,"2025-04-10"
"Laxmi Sunrise Bank Limited","LSL",126,219.65,222,217.5,217.98,"2025-04-09"
"Laxmi Sunrise Bank Limited","LSL",167,218.4,222,216.6,219.65,"2025-04-08"
"Laxmi Sunrise Bank Limited","LSL",168,227,227,220.4,221.15,"2025-04-07"
"Laxmi Sunrise Bank Limited","LSL",389,223.9,228.8,220,224.86,"2025-04-03"
"Laxmi Sunrise Bank Limited","LSL",176,227.2,227.2,219,222.05,"2025-04-02"
"Laxmi Sunrise Bank Limited","LSL",204,219.1,224.5,219.1,222.78,"2025-04-01"
"Laxmi Sunrise Bank Limited","LSL",350,220,228,216,223.13,"2025-03-30"
"Laxmi Sunrise Bank Limited","LSL",231,221.1,221.1,213.2,219.5,"2025-03-27"
"Laxmi Sunrise Bank Limited","LSL",205,218,219,213.7,216.8,"2025-03-26"
"Laxmi Sunrise Bank Limited","LSL",214,221.1,221.1,213,215.95,"2025-03-25"
"Laxmi Sunrise Bank Limited","LSL",220,211.4,217,211.4,216.81,"2025-03-24"
"Laxmi Sunrise Bank Limited","LSL",349,218.1,220,215,215.67,"2025-03-23"
"Laxmi Sunrise Bank Limited","LSL",191,222.9,222.9,219,219.75,"2025-03-20"
"Laxmi Sunrise Bank Limited","LSL",185,226,226.5,220.5,221.3,"2025-03-19"
"Laxmi Sunrise Bank Limited","LSL",134,228.4,228.4,220.1,226,"2025-03-18"
"Laxmi Sunrise Bank Limited","LSL",156,222,232,220.5,224,"2025-03-17"
"Laxmi Sunrise Bank Limited","LSL",206,230,230,222,223,"2025-03-16"
"Laxmi Sunrise Bank Limited","LSL",233,225,229.4,224,228,"2025-03-12"
"Laxmi Sunrise Bank Limited","LSL",257,228.5,231.4,223,223.9,"2025-03-11"
"Laxmi Sunrise Bank Limited","LSL",208,225.2,232,225.2,227,"2025-03-10"
"Laxmi Sunrise Bank Limited","LSL",201,231,231.8,227.1,228.9,"2025-03-09"
"Laxmi Sunrise Bank Limited","LSL",202,234.9,235.1,231.5,233,"2025-03-06"
"Laxmi Sunrise Bank Limited","LSL",269,235.2,235.2,229.1,235,"2025-03-05"
"Laxmi Sunrise Bank Limited","LSL",344,230.8,238,230.8,232.7,"2025-03-04"
"Laxmi Sunrise Bank Limited","LSL",475,242,242,234,235.5,"2025-03-03"
"Laxmi Sunrise Bank Limited","LSL",384,237.1,240,236,239.9,"2025-03-02"
"Laxmi Sunrise Bank Limited","LSL",577,235.6,244.8,232.5,232.5,"2025-02-27"
"Laxmi Sunrise Bank Limited","LSL",264,236.3,236.3,229.6,231,"2025-02-25"
"Laxmi Sunrise Bank Limited","LSL",338,235.6,238,233,234,"2025-02-24"
"Laxmi Sunrise Bank Limited","LSL",493,224,236.5,222,233,"2025-02-23"
"Laxmi Sunrise Bank Limited","LSL",241,230,230,227,228.5,"2025-02-20"
"Laxmi Sunrise Bank Limited","LSL",496,230.1,233.9,226.4,227,"2025-02-18"
"Laxmi Sunrise Bank Limited","LSL",534,221.5,228.6,219,225.6,"2025-02-17"
"Laxmi Sunrise Bank Limited","LSL",238,221,221,218,219.5,"2025-02-16"
"Laxmi Sunrise Bank Limited","LSL",215,219.3,223.6,215,219,"2025-02-13"
"Laxmi Sunrise Bank Limited","LSL",191,219,221.9,216,217,"2025-02-12"
"Laxmi Sunrise Bank Limited","LSL",247,219,222.5,215.5,216,"2025-02-11"
"Laxmi Sunrise Bank Limited","LSL",318,217,223.2,215,217.2,"2025-02-10"
"Laxmi Sunrise Bank Limited","LSL",257,209.5,220.3,209.5,216.5,"2025-02-09"
"Laxmi Sunrise Bank Limited","LSL",156,215,216,213,213.7,"2025-02-06"
"Laxmi Sunrise Bank Limited","LSL",194,218.1,218.1,215,215,"2025-02-05"
"Laxmi Sunrise Bank Limited","LSL",253,219.9,222,215.3,216,"2025-02-04"
"Laxmi Sunrise Bank Limited","LSL",406,216,223,215,216.7,"2025-02-03"
"Laxmi Sunrise Bank Limited","LSL",429,207,214.7,207,213.7,"2025-02-02"
"Laxmi Sunrise Bank Limited","LSL",255,206.1,210,206,208,"2025-01-28"
"Laxmi Sunrise Bank Limited","LSL",178,206.1,209,205.5,206.5,"2025-01-27"
"Laxmi Sunrise Bank Limited","LSL",191,205,210.8,205,207.7,"2025-01-26"
"Laxmi Sunrise Bank Limited","LSL",236,213.9,216,209.1,209.1,"2025-01-23"
"Laxmi Sunrise Bank Limited","LSL",244,207,213,207,212,"2025-01-22"
"Laxmi Sunrise Bank Limited","LSL",149,208,209,206.2,207.6,"2025-01-21"
"Laxmi Sunrise Bank Limited","LSL",214,211.1,213.4,209.5,209.5,"2025-01-20"
"Laxmi Sunrise Bank Limited","LSL",253,212.9,212.9,206,208,"2025-01-19"
"Laxmi Sunrise Bank Limited","LSL",157,210,213,209.1,209.9,"2025-01-16"
"Laxmi Sunrise Bank Limited","LSL",210,213,214,209.4,209.9,"2025-01-15"
"Laxmi Sunrise Bank Limited","LSL",262,217.3,217.3,211.9,212.1,"2025-01-13"
"Laxmi Sunrise Bank Limited","LSL",179,221.9,221.9,214,215.9,"2025-01-12"
"Laxmi Sunrise Bank Limited","LSL",229,217.3,221,217,217.6,"2025-01-09"
"Laxmi Sunrise Bank Limited","LSL",183,226.2,226.2,219.5,221,"2025-01-08"
"Laxmi Sunrise Bank Limited","LSL",225,222.5,222.9,218.2,221.8,"2025-01-07"
"Laxmi Sunrise Bank Limited","LSL",233,215.3,221.8,215,220.5,"2025-01-06"
"Laxmi Sunrise Bank Limited","LSL",225,217,220,216,218,"2025-01-05"
"Laxmi Sunrise Bank Limited","LSL",243,221.5,221.5,218.8,220,"2025-01-02"
"Laxmi Sunrise Bank Limited","LSL",213,224.5,224.5,221,221.5,"2025-01-01"
"Laxmi Sunrise Bank Limited","LSL",517,239,242,233.2,236,"2024-12-31"
"Laxmi Sunrise Bank Limited","LSL",443,239.2,244.8,238,239,"2024-12-29"
"Laxmi Sunrise Bank Limited","LSL",575,232,244.8,231.4,237,"2024-12-26"
"Laxmi Sunrise Bank Limited","LSL",201,235.5,236,232,233,"2024-12-24"
"Laxmi Sunrise Bank Limited","LSL",179,235,235.4,232,233,"2024-12-23"
"Laxmi Sunrise Bank Limited","LSL",223,229.4,235.4,226.2,233,"2024-12-22"
"Laxmi Sunrise Bank Limited","LSL",179,233.1,235.9,232.9,234,"2024-12-19"
"Laxmi Sunrise Bank Limited","LSL",172,237,237,233,235,"2024-12-18"
"Laxmi Sunrise Bank Limited","LSL",225,234.9,238.5,230.4,235,"2024-12-17"
"Laxmi Sunrise Bank Limited","LSL",271,235.1,238,232.3,232.3,"2024-12-16"
"Laxmi Sunrise Bank Limited","LSL",247,247.8,247.8,237,238,"2024-12-12"
"Laxmi Sunrise Bank Limited","LSL",251,238,244.8,234,243,"2024-12-11"
"Laxmi Sunrise Bank Limited","LSL",202,237,238,234,236,"2024-12-10"
"Laxmi Sunrise Bank Limited","LSL",223,240,242,234,236,"2024-12-09"
"Laxmi Sunrise Bank Limited","LSL",320,242,247,237,239,"2024-12-08"
"Laxmi Sunrise Bank Limited","LSL",334,246,246,240.2,242.9,"2024-12-05"
