fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",403,405,410,391,400.64,"2025-04-17"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",338,381,407,381,398.46,"2025-04-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",264,387.2,400,376,386.41,"2025-04-15"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",218,376,392,374.3,379.68,"2025-04-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",159,370.2,383,370.1,375.13,"2025-04-10"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",149,384,384,373,373.56,"2025-04-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",158,374,378,372.2,376.69,"2025-04-08"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",110,389.6,389.6,370,379.38,"2025-04-07"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",177,379,387,379,381.99,"2025-04-03"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",130,377,388,377,384.5,"2025-04-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",213,380.1,390,376.5,381.61,"2025-04-01"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",277,376.2,390.6,376.2,387.13,"2025-03-30"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",237,377,381,374,379.83,"2025-03-27"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",160,380,380,374,378.64,"2025-03-26"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",269,381,382.8,372.4,373.69,"2025-03-25"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",240,383,389.9,380,386.55,"2025-03-24"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",291,396,397,385,385.37,"2025-03-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",143,399,404,396,397.72,"2025-03-20"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",324,397.5,427,395.1,399.9,"2025-03-19"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",154,397,404.9,397,397.5,"2025-03-18"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",212,404.9,404.9,396,400,"2025-03-17"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",272,404.1,405,396.1,399,"2025-03-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",225,401,406,400.1,404,"2025-03-12"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",397,408,410,399.9,400,"2025-03-11"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",316,411.7,417,406.2,408,"2025-03-10"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",338,418,420,408.7,410.8,"2025-03-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",311,416.6,423,415,417,"2025-03-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",345,420,425,415.1,416.6,"2025-03-05"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",494,436.5,436.5,418,419,"2025-03-04"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",545,431,440.6,426,428,"2025-03-03"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",495,425,434.9,425,430,"2025-03-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",389,422,425,415,422.3,"2025-02-27"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",458,423,424,412.8,414.6,"2025-02-25"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",397,420.2,459,418,419.9,"2025-02-24"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",484,422,425,415,419.6,"2025-02-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",417,425.2,428,422.1,422.2,"2025-02-20"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",452,435.5,443,424,425,"2025-02-18"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",573,437.5,443,427,427,"2025-02-17"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",545,430,460,424,437,"2025-02-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",829,440,448.8,428.5,430,"2025-02-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",1397,487,487,438.6,445,"2025-02-12"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",502,445,487.3,437,487.3,"2025-02-11"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",427,457.9,457.9,438.6,443,"2025-02-10"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",583,456,487,447,449,"2025-02-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",437,466.1,468.9,452,455,"2025-02-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",482,463.3,466,454.1,457,"2025-02-05"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",479,478,478,462.5,463.3,"2025-02-04"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",1284,462,480,462,470,"2025-02-03"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",1027,448,469.1,448,461.5,"2025-02-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",412,444,450,442.1,443.6,"2025-01-28"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",332,450,450.5,441.1,442,"2025-01-27"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",362,447,453,442,443.1,"2025-01-26"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",409,450,456,445,449.9,"2025-01-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",403,446,455.9,445,449.5,"2025-01-22"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",375,450,453.2,444.4,448,"2025-01-21"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",581,445,452,444,448,"2025-01-20"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",383,450,450.8,440,441.8,"2025-01-19"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",522,463,464.4,446.4,450,"2025-01-16"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",1048,447.7,464,430.1,459,"2025-01-15"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",323,434,441.9,426.5,439,"2025-01-13"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",202,440,440,433,434.9,"2025-01-12"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",478,444.8,444.8,431,439.2,"2025-01-09"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",409,440,445.7,436,436.1,"2025-01-08"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",350,441,452,441,444,"2025-01-07"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",373,448,455,445,449,"2025-01-06"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",731,443.5,455,435.1,448,"2025-01-05"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",230,442.5,442.5,426.2,434.9,"2025-01-02"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",304,425,435.7,425,433.9,"2025-01-01"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",414,420,438,413.1,433,"2024-12-31"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",278,424,428.1,419.7,420,"2024-12-29"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",249,438.1,438.1,429.1,429.6,"2024-12-26"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",295,441,445,434.1,438,"2024-12-24"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",293,436,443,429,435.3,"2024-12-23"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",293,428.1,438.5,425.5,428.1,"2024-12-22"
"RASUWAGADHI HYDROPOWER COMPANY LIMITED","RHPL",287,445,450,434,434,"2024-12-19"
