fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Ghalemdi Hydro Limited","GHL",890,287.8,289.5,279.3,281.97,"2025-04-17"
"Ghalemdi Hydro Limited","GHL",713,280,285,273,282.2,"2025-04-16"
"Ghalemdi Hydro Limited","GHL",664,275.8,280,270,277.67,"2025-04-15"
"Ghalemdi Hydro Limited","GHL",599,267.6,272.3,264.7,270.39,"2025-04-13"
"Ghalemdi Hydro Limited","GHL",481,274,275,267,267.56,"2025-04-10"
"Ghalemdi Hydro Limited","GHL",477,269.8,280,269.8,271.68,"2025-04-09"
"Ghalemdi Hydro Limited","GHL",791,266,275.39,261.7,274.27,"2025-04-08"
"Ghalemdi Hydro Limited","GHL",591,268.7,284.89,268,268.29,"2025-04-07"
"Ghalemdi Hydro Limited","GHL",901,283,283,273,274.11,"2025-04-03"
"Ghalemdi Hydro Limited","GHL",554,281,284,278,282.33,"2025-04-02"
"Ghalemdi Hydro Limited","GHL",902,286,291,276,278.7,"2025-04-01"
"Ghalemdi Hydro Limited","GHL",1199,290,295,284,286.64,"2025-03-30"
"Ghalemdi Hydro Limited","GHL",1067,279.9,289.8,275.2,288.02,"2025-03-27"
"Ghalemdi Hydro Limited","GHL",813,266,279.8,266,276.81,"2025-03-26"
"Ghalemdi Hydro Limited","GHL",1061,276,280,268,269.04,"2025-03-25"
"Ghalemdi Hydro Limited","GHL",942,280,287.89,275,281.45,"2025-03-24"
"Ghalemdi Hydro Limited","GHL",1201,299,299,281,282.66,"2025-03-23"
"Ghalemdi Hydro Limited","GHL",965,297,299,290,294.2,"2025-03-20"
"Ghalemdi Hydro Limited","GHL",1085,305,305,295,298,"2025-03-19"
"Ghalemdi Hydro Limited","GHL",1595,291.8,311,289.2,305,"2025-03-18"
"Ghalemdi Hydro Limited","GHL",1377,306,309.9,297.7,297.7,"2025-03-17"
"Ghalemdi Hydro Limited","GHL",2546,303.8,318,300,312,"2025-03-16"
"Ghalemdi Hydro Limited","GHL",2453,285,318,284.7,310,"2025-03-12"
"Ghalemdi Hydro Limited","GHL",1387,288,302,281,290.5,"2025-03-11"
"Ghalemdi Hydro Limited","GHL",2594,299,304.9,275,293.7,"2025-03-10"
"Ghalemdi Hydro Limited","GHL",2186,308,308.9,294.1,299,"2025-03-09"
"Ghalemdi Hydro Limited","GHL",2219,285.5,305,285.5,302,"2025-03-06"
"Ghalemdi Hydro Limited","GHL",2510,295,305.8,289.2,291.3,"2025-03-05"
"Ghalemdi Hydro Limited","GHL",3093,289,303,286.1,294,"2025-03-04"
"Ghalemdi Hydro Limited","GHL",2332,281,289,273.2,285,"2025-03-03"
"Ghalemdi Hydro Limited","GHL",1971,268.2,282,257.8,278,"2025-03-02"
"Ghalemdi Hydro Limited","GHL",1341,269.6,269.6,257,263,"2025-02-27"
"Ghalemdi Hydro Limited","GHL",1920,262.8,267,255,264.4,"2025-02-25"
"Ghalemdi Hydro Limited","GHL",3949,249.3,265,245,260,"2025-02-24"
"Ghalemdi Hydro Limited","GHL",2067,230,245,224,244.5,"2025-02-23"
"Ghalemdi Hydro Limited","GHL",686,234,234,225,231,"2025-02-20"
"Ghalemdi Hydro Limited","GHL",654,234,234,228.2,229.6,"2025-02-18"
"Ghalemdi Hydro Limited","GHL",757,235,238.5,228,230,"2025-02-17"
"Ghalemdi Hydro Limited","GHL",1981,224.4,239,221,233.9,"2025-02-16"
"Ghalemdi Hydro Limited","GHL",437,222,222.1,218.8,220,"2025-02-13"
"Ghalemdi Hydro Limited","GHL",439,219.8,223,215,218,"2025-02-12"
"Ghalemdi Hydro Limited","GHL",267,215,219,213.4,217,"2025-02-11"
"Ghalemdi Hydro Limited","GHL",270,213.1,223,213.1,215,"2025-02-10"
"Ghalemdi Hydro Limited","GHL",341,215,224.7,215,215,"2025-02-09"
"Ghalemdi Hydro Limited","GHL",419,213.7,225.9,213.7,219,"2025-02-06"
"Ghalemdi Hydro Limited","GHL",485,220.9,223,216,218,"2025-02-05"
"Ghalemdi Hydro Limited","GHL",321,218,222.3,215.1,216.6,"2025-02-04"
"Ghalemdi Hydro Limited","GHL",495,226.2,226.2,217,218,"2025-02-03"
"Ghalemdi Hydro Limited","GHL",823,215.9,225.9,215.9,221.8,"2025-02-02"
"Ghalemdi Hydro Limited","GHL",511,207.8,216.1,206.2,213.7,"2025-01-28"
"Ghalemdi Hydro Limited","GHL",330,205.2,212,205.2,207.8,"2025-01-27"
"Ghalemdi Hydro Limited","GHL",253,211.5,211.5,206.1,207.2,"2025-01-26"
"Ghalemdi Hydro Limited","GHL",213,212,214,207,207.4,"2025-01-23"
"Ghalemdi Hydro Limited","GHL",401,202,212.8,201.5,210,"2025-01-22"
"Ghalemdi Hydro Limited","GHL",181,205,207.8,202.8,204,"2025-01-21"
"Ghalemdi Hydro Limited","GHL",291,210.6,210.6,204.9,205.3,"2025-01-20"
"Ghalemdi Hydro Limited","GHL",205,203.2,207.4,203.2,206.5,"2025-01-19"
"Ghalemdi Hydro Limited","GHL",196,207,207,203.5,205,"2025-01-16"
"Ghalemdi Hydro Limited","GHL",223,201.8,207.9,201.8,206.5,"2025-01-15"
"Ghalemdi Hydro Limited","GHL",443,203,209,200,204,"2025-01-13"
"Ghalemdi Hydro Limited","GHL",365,209.1,211,200,203.4,"2025-01-12"
"Ghalemdi Hydro Limited","GHL",213,216,216,210.3,210.7,"2025-01-09"
"Ghalemdi Hydro Limited","GHL",176,214,216.8,212,213.1,"2025-01-08"
"Ghalemdi Hydro Limited","GHL",342,214,218,212.1,214,"2025-01-07"
"Ghalemdi Hydro Limited","GHL",371,205,216.2,205,214,"2025-01-06"
"Ghalemdi Hydro Limited","GHL",167,203,204,202,203.5,"2025-01-05"
"Ghalemdi Hydro Limited","GHL",151,200,204.6,200,201,"2025-01-02"
"Ghalemdi Hydro Limited","GHL",146,201,203.9,199.3,200.6,"2025-01-01"
"Ghalemdi Hydro Limited","GHL",370,204,204,197,199,"2024-12-31"
"Ghalemdi Hydro Limited","GHL",197,203.2,207.2,203.2,204,"2024-12-29"
"Ghalemdi Hydro Limited","GHL",193,208,209,205,206.6,"2024-12-26"
"Ghalemdi Hydro Limited","GHL",250,209.5,212.4,208,208.4,"2024-12-24"
"Ghalemdi Hydro Limited","GHL",196,203,208.2,202,207.8,"2024-12-23"
"Ghalemdi Hydro Limited","GHL",260,206,207.9,203,204,"2024-12-22"
"Ghalemdi Hydro Limited","GHL",277,210.1,213,206,206.8,"2024-12-19"
"Ghalemdi Hydro Limited","GHL",215,215,215,210.7,211.4,"2024-12-18"
"Ghalemdi Hydro Limited","GHL",179,212.3,215.2,212,213,"2024-12-17"
"Ghalemdi Hydro Limited","GHL",339,220,220,212,214,"2024-12-16"
"Ghalemdi Hydro Limited","GHL",228,222.1,224.3,218,218.2,"2024-12-12"
"Ghalemdi Hydro Limited","GHL",171,220,222.8,218,222,"2024-12-11"
"Ghalemdi Hydro Limited","GHL",264,220,223,218,219.5,"2024-12-10"
"Ghalemdi Hydro Limited","GHL",228,215.6,224.2,215.6,220,"2024-12-09"
"Ghalemdi Hydro Limited","GHL",357,229.5,229.5,219,220,"2024-12-08"
"Ghalemdi Hydro Limited","GHL",399,234.8,234.8,224,225,"2024-12-05"
"Ghalemdi Hydro Limited","GHL",785,233,237.5,227,230.3,"2024-12-04"
"Ghalemdi Hydro Limited","GHL",785,226.4,230,223,228.5,"2024-12-03"
"Ghalemdi Hydro Limited","GHL",368,224.5,227.4,221.3,222,"2024-12-02"
"Ghalemdi Hydro Limited","GHL",302,219.1,223.9,218,222,"2024-12-01"
"Ghalemdi Hydro Limited","GHL",321,230,230,223.3,223.4,"2024-11-28"
"Ghalemdi Hydro Limited","GHL",350,228.4,230,224,227.5,"2024-11-27"
"Ghalemdi Hydro Limited","GHL",331,223.8,228.2,220,225,"2024-11-26"
"Ghalemdi Hydro Limited","GHL",219,213.8,224,213.8,219.5,"2024-11-25"
"Ghalemdi Hydro Limited","GHL",304,226.3,226.3,217.7,218,"2024-11-24"
"Ghalemdi Hydro Limited","GHL",345,229.6,229.6,221.5,221.9,"2024-11-21"
"Ghalemdi Hydro Limited","GHL",333,220,227,220,225.1,"2024-11-20"
"Ghalemdi Hydro Limited","GHL",514,226.5,233,223,224,"2024-11-19"
"Ghalemdi Hydro Limited","GHL",506,234,237.6,229.6,230.1,"2024-11-17"
"Ghalemdi Hydro Limited","GHL",536,231,233.8,228,229.5,"2024-11-14"
"Ghalemdi Hydro Limited","GHL",347,226.4,235.5,226,228,"2024-11-13"
"Ghalemdi Hydro Limited","GHL",466,238.6,238.6,229.2,231,"2024-11-12"
"Ghalemdi Hydro Limited","GHL",777,241,244,230,234,"2024-11-11"
"Ghalemdi Hydro Limited","GHL",850,228,237,224,237,"2024-11-10"
"Ghalemdi Hydro Limited","GHL",249,223,224,219,223.6,"2024-11-06"
"Ghalemdi Hydro Limited","GHL",173,218.6,225.8,218.6,221,"2024-11-05"
"Ghalemdi Hydro Limited","GHL",252,220.7,230,220.7,223,"2024-10-30"
"Ghalemdi Hydro Limited","GHL",503,226.7,230,223,225.2,"2024-10-29"
"Ghalemdi Hydro Limited","GHL",290,223,223.4,219.6,222.3,"2024-10-28"
"Ghalemdi Hydro Limited","GHL",336,221.3,222,216,219,"2024-10-27"
"Ghalemdi Hydro Limited","GHL",263,216,222,215,217,"2024-10-24"
"Ghalemdi Hydro Limited","GHL",287,222,222,215.7,218.9,"2024-10-23"
"Ghalemdi Hydro Limited","GHL",281,214,220,214,219.6,"2024-10-22"
"Ghalemdi Hydro Limited","GHL",471,226.4,226.4,215.1,215.8,"2024-10-21"
"Ghalemdi Hydro Limited","GHL",550,222.5,229,218,222,"2024-10-20"
"Ghalemdi Hydro Limited","GHL",536,230,235,225.5,227,"2024-10-17"
"Ghalemdi Hydro Limited","GHL",541,225,233,222,230,"2024-10-16"
"Ghalemdi Hydro Limited","GHL",178,223,224,220,223.8,"2024-10-15"
"Ghalemdi Hydro Limited","GHL",196,218.9,220.2,213.1,220,"2024-10-09"
"Ghalemdi Hydro Limited","GHL",325,222.1,224,215,216,"2024-10-08"
"Ghalemdi Hydro Limited","GHL",438,223,227,220.4,223.9,"2024-10-07"
"Ghalemdi Hydro Limited","GHL",482,213.1,222,210,220.1,"2024-10-06"
"Ghalemdi Hydro Limited","GHL",655,223.3,223.3,212,213.3,"2024-10-02"
"Ghalemdi Hydro Limited","GHL",699,203,219.3,200.2,219,"2024-10-01"
"Ghalemdi Hydro Limited","GHL",317,196,201,194.6,200,"2024-09-30"
"Ghalemdi Hydro Limited","GHL",432,196.1,203,193.5,195.5,"2024-09-29"
"Ghalemdi Hydro Limited","GHL",332,208,211,199,200.1,"2024-09-26"
"Ghalemdi Hydro Limited","GHL",517,201,210,196.3,208,"2024-09-25"
"Ghalemdi Hydro Limited","GHL",518,211,211,198.3,199.1,"2024-09-24"
"Ghalemdi Hydro Limited","GHL",616,211,214.5,201,208,"2024-09-23"
"Ghalemdi Hydro Limited","GHL",435,214,224.4,211,214.5,"2024-09-22"
"Ghalemdi Hydro Limited","GHL",504,212,216.9,209,211.5,"2024-09-18"
"Ghalemdi Hydro Limited","GHL",579,216.1,219.9,209.2,211.5,"2024-09-16"
"Ghalemdi Hydro Limited","GHL",913,227.5,234,214,216,"2024-09-15"
"Ghalemdi Hydro Limited","GHL",699,208,228.9,208,225,"2024-09-12"
"Ghalemdi Hydro Limited","GHL",632,218.3,218.3,208.2,209.9,"2024-09-11"
"Ghalemdi Hydro Limited","GHL",729,219.1,231,212.9,214.1,"2024-09-10"
"Ghalemdi Hydro Limited","GHL",667,229.2,229.2,217.6,219.1,"2024-09-09"
"Ghalemdi Hydro Limited","GHL",563,232.6,235,223,224.8,"2024-09-08"
"Ghalemdi Hydro Limited","GHL",693,237,237,222,230,"2024-09-05"
"Ghalemdi Hydro Limited","GHL",819,247.8,247.8,228,233,"2024-09-04"
"Ghalemdi Hydro Limited","GHL",959,246,253,241,243,"2024-09-03"
"Ghalemdi Hydro Limited","GHL",1205,228.6,243.5,221.7,242.2,"2024-09-02"
"Ghalemdi Hydro Limited","GHL",835,238.5,242.2,222,224.2,"2024-09-01"
"Ghalemdi Hydro Limited","GHL",848,244,244.6,230,234,"2024-08-29"
"Ghalemdi Hydro Limited","GHL",1226,238.7,250.9,234.3,239.9,"2024-08-28"
"Ghalemdi Hydro Limited","GHL",1844,252,259,233.1,236,"2024-08-27"
"Ghalemdi Hydro Limited","GHL",1985,256,270.2,254,255,"2024-08-25"
"Ghalemdi Hydro Limited","GHL",1234,264.1,269,255.8,255.8,"2024-08-22"
"Ghalemdi Hydro Limited","GHL",1572,260,270,255.8,259,"2024-08-21"
"Ghalemdi Hydro Limited","GHL",2350,272,276,253,257,"2024-08-18"
"Ghalemdi Hydro Limited","GHL",2650,263,283,260,270,"2024-08-15"
"Ghalemdi Hydro Limited","GHL",1995,249,260.1,239.3,258,"2024-08-14"
"Ghalemdi Hydro Limited","GHL",1854,255,265,240.1,249,"2024-08-13"
"Ghalemdi Hydro Limited","GHL",2728,235,256,235,250,"2024-08-12"
"Ghalemdi Hydro Limited","GHL",2375,217,234.8,215.2,234.2,"2024-08-11"
"Ghalemdi Hydro Limited","GHL",1322,217,225,215,216,"2024-08-08"
"Ghalemdi Hydro Limited","GHL",1175,207,217.7,207,215.5,"2024-08-07"
"Ghalemdi Hydro Limited","GHL",1700,220,225,205,208.2,"2024-08-06"
