fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"HIMALAYAN DISTILLERY LIMITED","HDL",577,1200,1214,1200,1201.54,"2025-04-17"
"HIMALAYAN DISTILLERY LIMITED","HDL",344,1195,1225,1195,1200.8,"2025-04-16"
"HIMALAYAN DISTILLERY LIMITED","HDL",456,1200,1211.8,1195,1204.82,"2025-04-15"
"HIMALAYAN DISTILLERY LIMITED","HDL",449,1196.1,1200,1192,1195.48,"2025-04-13"
"HIMALAYAN DISTILLERY LIMITED","HDL",326,1202,1204,1190.09,1194.5,"2025-04-10"
"HIMALAYAN DISTILLERY LIMITED","HDL",441,1194,1205,1190,1191.35,"2025-04-09"
"HIMALAYAN DISTILLERY LIMITED","HDL",624,1199,1199,1185,1189.93,"2025-04-08"
"HIMALAYAN DISTILLERY LIMITED","HDL",601,1217,1224,1196,1198.83,"2025-04-07"
"HIMALAYAN DISTILLERY LIMITED","HDL",530,1218.1,1229.5,1209,1214.5,"2025-04-03"
"HIMALAYAN DISTILLERY LIMITED","HDL",479,1223.9,1223.9,1205,1216.2,"2025-04-02"
"HIMALAYAN DISTILLERY LIMITED","HDL",604,1212,1215,1195,1204.79,"2025-04-01"
"HIMALAYAN DISTILLERY LIMITED","HDL",723,1204,1225,1204,1212.11,"2025-03-30"
"HIMALAYAN DISTILLERY LIMITED","HDL",639,1213.9,1215,1195,1204.23,"2025-03-27"
"HIMALAYAN DISTILLERY LIMITED","HDL",618,1188,1211,1187,1199.05,"2025-03-26"
"HIMALAYAN DISTILLERY LIMITED","HDL",952,1210,1234.09,1187,1188.43,"2025-03-25"
"HIMALAYAN DISTILLERY LIMITED","HDL",679,1190.1,1216,1190,1209.92,"2025-03-24"
"HIMALAYAN DISTILLERY LIMITED","HDL",900,1210,1212,1191,1192.69,"2025-03-23"
"HIMALAYAN DISTILLERY LIMITED","HDL",752,1232,1233,1207,1211.35,"2025-03-20"
"HIMALAYAN DISTILLERY LIMITED","HDL",521,1242,1242,1217,1220.8,"2025-03-19"
"HIMALAYAN DISTILLERY LIMITED","HDL",577,1249,1251,1225.2,1230,"2025-03-18"
"HIMALAYAN DISTILLERY LIMITED","HDL",602,1220,1241,1218,1227,"2025-03-17"
"HIMALAYAN DISTILLERY LIMITED","HDL",895,1238,1238,1200,1218,"2025-03-16"
"HIMALAYAN DISTILLERY LIMITED","HDL",791,1229,1237,1210,1214.9,"2025-03-12"
"HIMALAYAN DISTILLERY LIMITED","HDL",883,1246.2,1258.3,1211,1214.9,"2025-03-11"
"HIMALAYAN DISTILLERY LIMITED","HDL",857,1259,1270,1235.5,1241.2,"2025-03-10"
"HIMALAYAN DISTILLERY LIMITED","HDL",1341,1289,1289,1247,1249,"2025-03-09"
"HIMALAYAN DISTILLERY LIMITED","HDL",1138,1285,1309,1275,1283,"2025-03-06"
"HIMALAYAN DISTILLERY LIMITED","HDL",1695,1315,1315,1268,1272,"2025-03-05"
"HIMALAYAN DISTILLERY LIMITED","HDL",1686,1392.3,1392.3,1315,1315.2,"2025-03-04"
"HIMALAYAN DISTILLERY LIMITED","HDL",3517,1356.4,1400,1352,1365,"2025-03-03"
"HIMALAYAN DISTILLERY LIMITED","HDL",2516,1233,1329.9,1210,1329.9,"2025-03-02"
"HIMALAYAN DISTILLERY LIMITED","HDL",891,1215.8,1225,1196.1,1209,"2025-02-27"
"HIMALAYAN DISTILLERY LIMITED","HDL",889,1193,1200,1185.4,1192,"2025-02-25"
"HIMALAYAN DISTILLERY LIMITED","HDL",578,1193,1200,1190,1193,"2025-02-24"
"HIMALAYAN DISTILLERY LIMITED","HDL",636,1183.9,1198,1175,1193,"2025-02-23"
