fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Himalayan Reinsurance Limited","HRL",2075,1038,1054.7,1036.2,1042.96,"2025-04-09"
"Himalayan Reinsurance Limited","HRL",2884,1064.4,1064.4,1016.1,1039.66,"2025-04-08"
"Himalayan Reinsurance Limited","HRL",3701,1060,1075,1040,1043.61,"2025-04-07"
"Himalayan Reinsurance Limited","HRL",4483,1031,1061.9,1022,1058.17,"2025-04-03"
"Himalayan Reinsurance Limited","HRL",2412,1041,1041,1019.9,1030.32,"2025-04-02"
"Himalayan Reinsurance Limited","HRL",3920,1040.5,1053,1010,1020.6,"2025-04-01"
"Himalayan Reinsurance Limited","HRL",4870,1019,1060,1001,1040.68,"2025-03-30"
"Himalayan Reinsurance Limited","HRL",3976,982,1023,975,1019.71,"2025-03-27"
"Himalayan Reinsurance Limited","HRL",2965,936,989,936,978.47,"2025-03-26"
"Himalayan Reinsurance Limited","HRL",1892,962,962,935.1,939.44,"2025-03-25"
"Himalayan Reinsurance Limited","HRL",2759,937,969.6,926,961.79,"2025-03-24"
"Himalayan Reinsurance Limited","HRL",2784,965.1,966.1,935.1,937.62,"2025-03-23"
"Himalayan Reinsurance Limited","HRL",1922,977,986,961,964.06,"2025-03-20"
"Himalayan Reinsurance Limited","HRL",2117,986,996,966.3,977,"2025-03-19"
"Himalayan Reinsurance Limited","HRL",2300,984,1007.9,984,986,"2025-03-18"
"Himalayan Reinsurance Limited","HRL",2851,1000,1015,981.1,984,"2025-03-17"
"Himalayan Reinsurance Limited","HRL",3856,1043,1043,997,999,"2025-03-16"
"Himalayan Reinsurance Limited","HRL",3667,1018,1040,1010,1032.1,"2025-03-12"
"Himalayan Reinsurance Limited","HRL",4302,1058.1,1070,1011,1018,"2025-03-11"
"Himalayan Reinsurance Limited","HRL",5060,1050,1082,1046.7,1058.2,"2025-03-10"
"Himalayan Reinsurance Limited","HRL",7226,1073,1085,1045,1046,"2025-03-09"
"Himalayan Reinsurance Limited","HRL",7147,1110,1129,1070,1073,"2025-03-06"
"Himalayan Reinsurance Limited","HRL",5915,1130,1141,1111,1115,"2025-03-05"
"Himalayan Reinsurance Limited","HRL",8271,1113.9,1156,1095.2,1124.1,"2025-03-04"
"Himalayan Reinsurance Limited","HRL",10740,1020,1100,1020,1092.1,"2025-03-03"
"Himalayan Reinsurance Limited","HRL",6836,1045,1045,1004.1,1019.1,"2025-03-02"
"Himalayan Reinsurance Limited","HRL",6926,1045,1070,1016,1029.9,"2025-02-27"
"Himalayan Reinsurance Limited","HRL",9488,1000,1049.5,985,1025,"2025-02-25"
"Himalayan Reinsurance Limited","HRL",7613,982,1021,972,990,"2025-02-24"
"Himalayan Reinsurance Limited","HRL",6850,915.9,997,903,982,"2025-02-23"
"Himalayan Reinsurance Limited","HRL",3642,940,940,917,934,"2025-02-20"
"Himalayan Reinsurance Limited","HRL",7079,880,939,880,936,"2025-02-18"
"Himalayan Reinsurance Limited","HRL",2075,855,878,850,876,"2025-02-17"
"Himalayan Reinsurance Limited","HRL",1344,845,854,845,848.5,"2025-02-16"
"Himalayan Reinsurance Limited","HRL",1066,860,860,844,844,"2025-02-13"
"Himalayan Reinsurance Limited","HRL",1192,855,863,845,849,"2025-02-12"
"Himalayan Reinsurance Limited","HRL",1136,847,860,847,853.5,"2025-02-11"
"Himalayan Reinsurance Limited","HRL",1252,838.9,865,838.9,847.3,"2025-02-10"
"Himalayan Reinsurance Limited","HRL",1147,865,874.9,852.7,856,"2025-02-09"
"Himalayan Reinsurance Limited","HRL",1179,875,878,861.2,863,"2025-02-06"
"Himalayan Reinsurance Limited","HRL",1434,885,885,866,874.9,"2025-02-05"
"Himalayan Reinsurance Limited","HRL",2059,866,894,861,868.2,"2025-02-04"
"Himalayan Reinsurance Limited","HRL",1866,885,891,865,866,"2025-02-03"
"Himalayan Reinsurance Limited","HRL",2945,850,883,850,880,"2025-02-02"
