fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"NEPAL FINANCE & SAVING CO. LTD","NFS",296,690,701,687,695.98,"2025-04-17"
"NEPAL FINANCE & SAVING CO. LTD","NFS",222,704,704,685,685.74,"2025-04-16"
"NEPAL FINANCE & SAVING CO. LTD","NFS",163,690,702,690,692.49,"2025-04-15"
"NEPAL FINANCE & SAVING CO. LTD","NFS",184,688,699.5,680.4,683.04,"2025-04-13"
"NEPAL FINANCE & SAVING CO. LTD","NFS",224,705,705,685,687.75,"2025-04-10"
"NEPAL FINANCE & SAVING CO. LTD","NFS",183,698,707,690,691.4,"2025-04-09"
"NEPAL FINANCE & SAVING CO. LTD","NFS",189,690,697.8,680.3,693.64,"2025-04-08"
"NEPAL FINANCE & SAVING CO. LTD","NFS",336,712,714.8,689,690.2,"2025-04-07"
"NEPAL FINANCE & SAVING CO. LTD","NFS",243,723,730,705.1,708.24,"2025-04-03"
"NEPAL FINANCE & SAVING CO. LTD","NFS",518,699,739,692,722.96,"2025-04-02"
"NEPAL FINANCE & SAVING CO. LTD","NFS",257,712,718.9,695,699.56,"2025-04-01"
"NEPAL FINANCE & SAVING CO. LTD","NFS",477,690,719.9,685,710.21,"2025-03-30"
"NEPAL FINANCE & SAVING CO. LTD","NFS",229,698,698,687.1,690.65,"2025-03-27"
"NEPAL FINANCE & SAVING CO. LTD","NFS",213,691.9,699.9,680,685.88,"2025-03-26"
"NEPAL FINANCE & SAVING CO. LTD","NFS",418,704,707,677,679.26,"2025-03-25"
"NEPAL FINANCE & SAVING CO. LTD","NFS",527,684,706,665,703.95,"2025-03-24"
"NEPAL FINANCE & SAVING CO. LTD","NFS",628,710,715,675,680.47,"2025-03-23"
"NEPAL FINANCE & SAVING CO. LTD","NFS",467,728.9,728.9,701,703.26,"2025-03-20"
"NEPAL FINANCE & SAVING CO. LTD","NFS",304,717,731.3,710,717,"2025-03-19"
"NEPAL FINANCE & SAVING CO. LTD","NFS",238,738,738,720,723,"2025-03-18"
"NEPAL FINANCE & SAVING CO. LTD","NFS",260,725,742,720.3,724,"2025-03-17"
"NEPAL FINANCE & SAVING CO. LTD","NFS",347,735,745,720.2,724.5,"2025-03-16"
"NEPAL FINANCE & SAVING CO. LTD","NFS",335,735.3,744.5,730,734.9,"2025-03-12"
"NEPAL FINANCE & SAVING CO. LTD","NFS",503,745,760,726,734,"2025-03-11"
"NEPAL FINANCE & SAVING CO. LTD","NFS",528,775,775,744.9,744.9,"2025-03-10"
"NEPAL FINANCE & SAVING CO. LTD","NFS",532,782,789.8,760,761,"2025-03-09"
"NEPAL FINANCE & SAVING CO. LTD","NFS",455,786,796,779,781,"2025-03-06"
"NEPAL FINANCE & SAVING CO. LTD","NFS",415,805,805,783,785.2,"2025-03-05"
"NEPAL FINANCE & SAVING CO. LTD","NFS",535,823.3,829.9,795,797.2,"2025-03-04"
"NEPAL FINANCE & SAVING CO. LTD","NFS",847,830,859.6,816,816,"2025-03-03"
"NEPAL FINANCE & SAVING CO. LTD","NFS",703,795.6,820,793,816,"2025-03-02"
"NEPAL FINANCE & SAVING CO. LTD","NFS",419,795.7,805,777,780,"2025-02-27"
"NEPAL FINANCE & SAVING CO. LTD","NFS",474,800,803,775,780.1,"2025-02-25"
"NEPAL FINANCE & SAVING CO. LTD","NFS",486,810,816,786,789,"2025-02-24"
"NEPAL FINANCE & SAVING CO. LTD","NFS",617,790.9,823,777,795.3,"2025-02-23"
"NEPAL FINANCE & SAVING CO. LTD","NFS",797,800,830,787.8,807,"2025-02-20"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1167,854,854.6,790.2,803.8,"2025-02-18"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1948,825,857.7,825,838,"2025-02-17"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1863,749,809.8,749,809.8,"2025-02-16"
"NEPAL FINANCE & SAVING CO. LTD","NFS",672,746.6,753.7,718,736.2,"2025-02-13"
"NEPAL FINANCE & SAVING CO. LTD","NFS",449,732,744,711,732,"2025-02-12"
"NEPAL FINANCE & SAVING CO. LTD","NFS",464,722.3,749.7,715,717.9,"2025-02-11"
"NEPAL FINANCE & SAVING CO. LTD","NFS",430,751,751,725.2,730,"2025-02-10"
"NEPAL FINANCE & SAVING CO. LTD","NFS",683,751,757.3,735,737,"2025-02-09"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1285,735,775,729,751,"2025-02-06"
"NEPAL FINANCE & SAVING CO. LTD","NFS",878,710,737,696,721,"2025-02-05"
"NEPAL FINANCE & SAVING CO. LTD","NFS",432,725,729,700,703,"2025-02-04"
"NEPAL FINANCE & SAVING CO. LTD","NFS",832,700,731.3,700,720,"2025-02-03"
"NEPAL FINANCE & SAVING CO. LTD","NFS",959,720,723,700,710,"2025-02-02"
"NEPAL FINANCE & SAVING CO. LTD","NFS",951,715,742.5,703,715,"2025-01-28"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1777,668.4,743,655,729,"2025-01-27"
"NEPAL FINANCE & SAVING CO. LTD","NFS",2046,743,750,670.4,682,"2025-01-26"
"NEPAL FINANCE & SAVING CO. LTD","NFS",979,766,790,742,743,"2025-01-23"
"NEPAL FINANCE & SAVING CO. LTD","NFS",793,770.1,785,755.4,781,"2025-01-22"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1264,745,794,741,755,"2025-01-21"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1701,805,805,740,740,"2025-01-20"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1181,787,824.9,771.3,797,"2025-01-19"
"NEPAL FINANCE & SAVING CO. LTD","NFS",2061,868,868,800.1,803,"2025-01-16"
"NEPAL FINANCE & SAVING CO. LTD","NFS",2225,918,918,850,851,"2025-01-15"
"NEPAL FINANCE & SAVING CO. LTD","NFS",1353,957,967,915,917,"2025-01-13"
