fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"Ngadi Group Power Ltd.","NGPL",3502,321.5,326.39,315,319.39,"2025-04-17"
"Ngadi Group Power Ltd.","NGPL",4536,299,320,288.6,315.27,"2025-04-16"
"Ngadi Group Power Ltd.","NGPL",2466,286.1,299.3,286.1,293.37,"2025-04-15"
"Ngadi Group Power Ltd.","NGPL",1367,288,297,285,286.24,"2025-04-13"
"Ngadi Group Power Ltd.","NGPL",2668,275,290.7,275,288.55,"2025-04-10"
"Ngadi Group Power Ltd.","NGPL",1353,266,276,265.1,274.23,"2025-04-09"
"Ngadi Group Power Ltd.","NGPL",711,270,270,262.2,265.31,"2025-04-08"
"Ngadi Group Power Ltd.","NGPL",1066,259.7,271,259.7,266.52,"2025-04-07"
"Ngadi Group Power Ltd.","NGPL",1311,265,274,264,265,"2025-04-03"
"Ngadi Group Power Ltd.","NGPL",2223,264.7,279.7,254.8,266.95,"2025-04-02"
"Ngadi Group Power Ltd.","NGPL",234,274,278,268,270.01,"2025-04-01"
"Ngadi Group Power Ltd.","NGPL",301,269,278,269,274.55,"2025-03-30"
"Ngadi Group Power Ltd.","NGPL",240,267.1,272.2,267.1,269.77,"2025-03-27"
"Ngadi Group Power Ltd.","NGPL",242,265,267.6,262.2,267.01,"2025-03-26"
"Ngadi Group Power Ltd.","NGPL",443,270,270,261.1,263.92,"2025-03-25"
"Ngadi Group Power Ltd.","NGPL",288,266.2,274,266.2,269.57,"2025-03-24"
"Ngadi Group Power Ltd.","NGPL",444,275,275,265.6,266.67,"2025-03-23"
"Ngadi Group Power Ltd.","NGPL",203,282,282,274,274.9,"2025-03-20"
"Ngadi Group Power Ltd.","NGPL",245,277,285,275.9,277,"2025-03-19"
"Ngadi Group Power Ltd.","NGPL",251,282.4,283.8,278,279,"2025-03-18"
"Ngadi Group Power Ltd.","NGPL",359,275.5,285,272.4,277,"2025-03-17"
"Ngadi Group Power Ltd.","NGPL",303,284,284,275.1,275.5,"2025-03-16"
"Ngadi Group Power Ltd.","NGPL",326,280,284.1,278,279,"2025-03-12"
"Ngadi Group Power Ltd.","NGPL",276,289,289,278.1,278.6,"2025-03-11"
"Ngadi Group Power Ltd.","NGPL",408,284.3,291,283,284.6,"2025-03-10"
"Ngadi Group Power Ltd.","NGPL",341,291,291,283,283,"2025-03-09"
"Ngadi Group Power Ltd.","NGPL",356,286.1,290,286,286.5,"2025-03-06"
"Ngadi Group Power Ltd.","NGPL",392,295,297.8,286,290,"2025-03-05"
"Ngadi Group Power Ltd.","NGPL",563,300,300,289.7,292,"2025-03-04"
"Ngadi Group Power Ltd.","NGPL",982,306,306,295,296,"2025-03-03"
"Ngadi Group Power Ltd.","NGPL",960,296,302,290.1,300,"2025-03-02"
"Ngadi Group Power Ltd.","NGPL",651,285,294.7,279.1,294.7,"2025-02-27"
"Ngadi Group Power Ltd.","NGPL",405,278.3,287,278.2,281,"2025-02-25"
"Ngadi Group Power Ltd.","NGPL",373,284.1,290,282,283.9,"2025-02-24"
"Ngadi Group Power Ltd.","NGPL",462,284,290,277,285.8,"2025-02-23"
"Ngadi Group Power Ltd.","NGPL",336,290,290,283.6,286,"2025-02-20"
"Ngadi Group Power Ltd.","NGPL",581,287,290.5,285,287,"2025-02-18"
"Ngadi Group Power Ltd.","NGPL",604,280,288,280,284.2,"2025-02-17"
"Ngadi Group Power Ltd.","NGPL",307,279.7,285,277,279.7,"2025-02-16"
"Ngadi Group Power Ltd.","NGPL",350,286.8,286.8,278,279.7,"2025-02-13"
"Ngadi Group Power Ltd.","NGPL",481,280.5,283.9,275,281.2,"2025-02-12"
"Ngadi Group Power Ltd.","NGPL",356,271.5,282,271.5,275,"2025-02-11"
"Ngadi Group Power Ltd.","NGPL",364,286.6,286.6,276,277,"2025-02-10"
"Ngadi Group Power Ltd.","NGPL",392,286,287.6,281,281,"2025-02-09"
"Ngadi Group Power Ltd.","NGPL",569,290,291.5,280.3,281,"2025-02-06"
"Ngadi Group Power Ltd.","NGPL",457,285,292.6,283,286,"2025-02-05"
"Ngadi Group Power Ltd.","NGPL",690,295.8,295.8,283,286.9,"2025-02-04"
"Ngadi Group Power Ltd.","NGPL",1043,303.1,303.1,286,290,"2025-02-03"
"Ngadi Group Power Ltd.","NGPL",1431,297.8,304.3,292,297.2,"2025-02-02"
"Ngadi Group Power Ltd.","NGPL",1685,270.2,299.8,269,292,"2025-01-28"
"Ngadi Group Power Ltd.","NGPL",543,282,282,273.3,273.5,"2025-01-27"
"Ngadi Group Power Ltd.","NGPL",772,290,290,277,279.1,"2025-01-26"
"Ngadi Group Power Ltd.","NGPL",1841,270,290.6,270,285,"2025-01-23"
"Ngadi Group Power Ltd.","NGPL",586,271,273,266,268,"2025-01-22"
"Ngadi Group Power Ltd.","NGPL",331,267.2,272,266,266.2,"2025-01-21"
"Ngadi Group Power Ltd.","NGPL",530,265.1,272,265.1,268.2,"2025-01-20"
"Ngadi Group Power Ltd.","NGPL",426,270,272.7,265,265,"2025-01-19"
"Ngadi Group Power Ltd.","NGPL",381,275,275,264.7,268,"2025-01-16"
"Ngadi Group Power Ltd.","NGPL",487,264,270,260.3,270,"2025-01-15"
"Ngadi Group Power Ltd.","NGPL",361,265,267,260.3,263,"2025-01-13"
"Ngadi Group Power Ltd.","NGPL",264,272,272,263.1,264.9,"2025-01-12"
"Ngadi Group Power Ltd.","NGPL",525,270.3,270.3,259.1,267,"2025-01-09"
"Ngadi Group Power Ltd.","NGPL",509,272,274.5,264.1,265,"2025-01-08"
"Ngadi Group Power Ltd.","NGPL",562,275,277,268,272,"2025-01-07"
"Ngadi Group Power Ltd.","NGPL",592,259,272.1,256.1,272,"2025-01-06"
"Ngadi Group Power Ltd.","NGPL",360,254,260.9,253,257.8,"2025-01-05"
"Ngadi Group Power Ltd.","NGPL",302,254,259,252.1,253,"2025-01-02"
"Ngadi Group Power Ltd.","NGPL",233,256.9,257,251.8,253,"2025-01-01"
"Ngadi Group Power Ltd.","NGPL",401,261.2,261.2,250,252.1,"2024-12-31"
"Ngadi Group Power Ltd.","NGPL",368,262,263,256.1,256.1,"2024-12-29"
"Ngadi Group Power Ltd.","NGPL",358,270,270,261,262.7,"2024-12-26"
"Ngadi Group Power Ltd.","NGPL",603,267,270.2,261.9,267,"2024-12-24"
"Ngadi Group Power Ltd.","NGPL",350,256,263.1,256,262,"2024-12-23"
"Ngadi Group Power Ltd.","NGPL",418,262.9,268.1,255,255.5,"2024-12-22"
"Ngadi Group Power Ltd.","NGPL",504,266,266,257.8,257.8,"2024-12-19"
"Ngadi Group Power Ltd.","NGPL",297,269.9,272.3,265.5,265.7,"2024-12-18"
"Ngadi Group Power Ltd.","NGPL",365,274,274,267,267,"2024-12-17"
"Ngadi Group Power Ltd.","NGPL",577,275,279.9,268,269,"2024-12-16"
"Ngadi Group Power Ltd.","NGPL",630,279,285.1,275.5,278.9,"2024-12-12"
"Ngadi Group Power Ltd.","NGPL",470,280,280,273,278.1,"2024-12-11"
"Ngadi Group Power Ltd.","NGPL",773,287.9,287.9,275,275,"2024-12-10"
"Ngadi Group Power Ltd.","NGPL",604,293,295,282.3,282.3,"2024-12-09"
"Ngadi Group Power Ltd.","NGPL",727,294.1,295.5,288,289,"2024-12-08"
"Ngadi Group Power Ltd.","NGPL",1195,312,312,295.1,296,"2024-12-05"
"Ngadi Group Power Ltd.","NGPL",2026,320,320,305,306,"2024-12-04"
"Ngadi Group Power Ltd.","NGPL",2112,294.7,317.9,294.7,314,"2024-12-03"
"Ngadi Group Power Ltd.","NGPL",3819,487,487,475.9,478,"2024-12-02"
"Ngadi Group Power Ltd.","NGPL",1774,476,484,470,478,"2024-12-01"
"Ngadi Group Power Ltd.","NGPL",1742,492.6,492.6,472.4,475,"2024-11-28"
"Ngadi Group Power Ltd.","NGPL",1330,480,493.9,480,483,"2024-11-27"
"Ngadi Group Power Ltd.","NGPL",2618,494.1,498,471,483,"2024-11-26"
"Ngadi Group Power Ltd.","NGPL",3862,538.1,538.1,494.1,494.1,"2024-11-25"
"Ngadi Group Power Ltd.","NGPL",1404,491,550,481.2,549,"2024-11-24"
"Ngadi Group Power Ltd.","NGPL",1341,510,560,501,501,"2024-11-21"
"Ngadi Group Power Ltd.","NGPL",1368,510,550,510,519.9,"2024-11-20"
"Ngadi Group Power Ltd.","NGPL",2416,559.6,559.6,514,518.2,"2024-11-19"
"Ngadi Group Power Ltd.","NGPL",2133,516.5,571,501,571,"2024-11-17"
"Ngadi Group Power Ltd.","NGPL",1163,480,527,480,527,"2024-11-14"
"Ngadi Group Power Ltd.","NGPL",332,490,490,479,480,"2024-11-13"
"Ngadi Group Power Ltd.","NGPL",361,496,498.9,483,484.1,"2024-11-12"
"Ngadi Group Power Ltd.","NGPL",793,507,518,485.1,495,"2024-11-11"
"Ngadi Group Power Ltd.","NGPL",1538,483.4,505,474.1,498,"2024-11-10"
"Ngadi Group Power Ltd.","NGPL",353,478,479,462,474,"2024-11-06"
"Ngadi Group Power Ltd.","NGPL",219,474.3,474.3,465,470,"2024-11-05"
"Ngadi Group Power Ltd.","NGPL",290,459.7,478,459.7,465,"2024-10-30"
"Ngadi Group Power Ltd.","NGPL",433,478,478,468.8,469,"2024-10-29"
"Ngadi Group Power Ltd.","NGPL",356,464.6,484,464.6,469.4,"2024-10-28"
"Ngadi Group Power Ltd.","NGPL",382,465.5,483.9,465.5,474,"2024-10-27"
"Ngadi Group Power Ltd.","NGPL",482,461.9,506,461.9,475,"2024-10-24"
"Ngadi Group Power Ltd.","NGPL",749,466,498.4,466,471.3,"2024-10-23"
"Ngadi Group Power Ltd.","NGPL",449,467,483,467,474.9,"2024-10-22"
"Ngadi Group Power Ltd.","NGPL",1389,511.6,511.6,471,476,"2024-10-21"
"Ngadi Group Power Ltd.","NGPL",1367,465.5,522,458,522,"2024-10-20"
"Ngadi Group Power Ltd.","NGPL",1242,460,502,460,475,"2024-10-17"
"Ngadi Group Power Ltd.","NGPL",575,448,466,440,457,"2024-10-16"
"Ngadi Group Power Ltd.","NGPL",208,438.6,444.7,431,441.9,"2024-10-15"
"Ngadi Group Power Ltd.","NGPL",181,432,438,427,430,"2024-10-09"
"Ngadi Group Power Ltd.","NGPL",293,446,449,429,430,"2024-10-08"
"Ngadi Group Power Ltd.","NGPL",470,441.8,445.1,435,440.7,"2024-10-07"
"Ngadi Group Power Ltd.","NGPL",300,425,443.6,425,437,"2024-10-06"
"Ngadi Group Power Ltd.","NGPL",402,440,444,428,432,"2024-10-02"
"Ngadi Group Power Ltd.","NGPL",490,428,446.5,425,440,"2024-10-01"
"Ngadi Group Power Ltd.","NGPL",248,420,428,415,421.1,"2024-09-30"
"Ngadi Group Power Ltd.","NGPL",514,418,425.6,407,421,"2024-09-29"
"Ngadi Group Power Ltd.","NGPL",357,446.4,446.4,424.1,425.5,"2024-09-26"
