fullName,symbol,numOfTransactions,open,high,low,closingPrice,date
"POKHARA FINANCE LTD","PFL",204,418,424.3,416,422.3,"2025-04-17"
"POKHARA FINANCE LTD","PFL",126,425,425,416,418.1,"2025-04-16"
"POKHARA FINANCE LTD","PFL",150,420,424.8,413,419.71,"2025-04-15"
"POKHARA FINANCE LTD","PFL",154,415,420.9,411.5,415.15,"2025-04-13"
"POKHARA FINANCE LTD","PFL",188,427.9,427.9,416,417.79,"2025-04-10"
"POKHARA FINANCE LTD","PFL",143,430,432,423,423.37,"2025-04-09"
"POKHARA FINANCE LTD","PFL",209,431.6,431.6,415,424.46,"2025-04-08"
"POKHARA FINANCE LTD","PFL",185,443,443,423,423.22,"2025-04-07"
"POKHARA FINANCE LTD","PFL",196,445,449.5,432,434.63,"2025-04-03"
"POKHARA FINANCE LTD","PFL",316,440.1,451.8,425,441.04,"2025-04-02"
"POKHARA FINANCE LTD","PFL",220,440,443,426.4,431.5,"2025-04-01"
"POKHARA FINANCE LTD","PFL",351,430,448.9,428,440.32,"2025-03-30"
"POKHARA FINANCE LTD","PFL",238,431,438.9,428.1,435.15,"2025-03-27"
"POKHARA FINANCE LTD","PFL",299,427,435.5,425,430.78,"2025-03-26"
"POKHARA FINANCE LTD","PFL",329,439,440,417.3,420.69,"2025-03-25"
"POKHARA FINANCE LTD","PFL",621,415.7,444,400,439.02,"2025-03-24"
"POKHARA FINANCE LTD","PFL",420,424,424,405.8,407.57,"2025-03-23"
"POKHARA FINANCE LTD","PFL",405,436,441.8,422.5,423.35,"2025-03-20"
"POKHARA FINANCE LTD","PFL",278,460,460,435,436.9,"2025-03-19"
"POKHARA FINANCE LTD","PFL",186,458.9,458.9,450,453.9,"2025-03-18"
"POKHARA FINANCE LTD","PFL",199,462.8,462.8,450,452,"2025-03-17"
"POKHARA FINANCE LTD","PFL",676,462,498,455,458,"2025-03-16"
"POKHARA FINANCE LTD","PFL",248,459,461,448.9,453.1,"2025-03-12"
"POKHARA FINANCE LTD","PFL",316,464,465,450,450.5,"2025-03-11"
"POKHARA FINANCE LTD","PFL",300,469.9,470,458,459,"2025-03-10"
"POKHARA FINANCE LTD","PFL",248,470,475,461,466,"2025-03-09"
"POKHARA FINANCE LTD","PFL",333,477.9,480,465.6,470,"2025-03-06"
"POKHARA FINANCE LTD","PFL",435,487.9,487.9,465,471,"2025-03-05"
"POKHARA FINANCE LTD","PFL",471,496,501,479,479,"2025-03-04"
"POKHARA FINANCE LTD","PFL",880,507,518,483,487,"2025-03-03"
"POKHARA FINANCE LTD","PFL",1128,463,499.4,463,498,"2025-03-02"
"POKHARA FINANCE LTD","PFL",355,455,468.9,452,456,"2025-02-27"
"POKHARA FINANCE LTD","PFL",399,463,463,450.8,454,"2025-02-25"
"POKHARA FINANCE LTD","PFL",465,470.7,470.7,452,454,"2025-02-24"
"POKHARA FINANCE LTD","PFL",641,472.2,478,449,464,"2025-02-23"
"POKHARA FINANCE LTD","PFL",931,466,489,450.8,463,"2025-02-20"
"POKHARA FINANCE LTD","PFL",890,475,489,462.7,466,"2025-02-18"
"POKHARA FINANCE LTD","PFL",2452,496.8,520,466,475,"2025-02-17"
"POKHARA FINANCE LTD","PFL",1305,451.7,487.1,451.7,487.1,"2025-02-16"
"POKHARA FINANCE LTD","PFL",1583,410,442.9,410,442.9,"2025-02-13"
"POKHARA FINANCE LTD","PFL",478,405,417,395.2,402.7,"2025-02-12"
"POKHARA FINANCE LTD","PFL",362,400,410,397,399,"2025-02-11"
"POKHARA FINANCE LTD","PFL",451,418,423.3,402,402,"2025-02-10"
"POKHARA FINANCE LTD","PFL",760,420.2,425,400,412,"2025-02-09"
"POKHARA FINANCE LTD","PFL",1286,411,431,400,412,"2025-02-06"
"POKHARA FINANCE LTD","PFL",1034,367,403.7,364,403,"2025-02-05"
"POKHARA FINANCE LTD","PFL",484,376,388,365.6,367,"2025-02-04"
"POKHARA FINANCE LTD","PFL",647,387,387,375,376,"2025-02-03"
"POKHARA FINANCE LTD","PFL",1041,399.9,399.9,374.4,379.8,"2025-02-02"
"POKHARA FINANCE LTD","PFL",844,388,396.6,374,392.1,"2025-01-28"
"POKHARA FINANCE LTD","PFL",1109,363,386,339.9,384,"2025-01-27"
"POKHARA FINANCE LTD","PFL",1356,376,380,344,362.1,"2025-01-26"
"POKHARA FINANCE LTD","PFL",1513,398.9,405,375,376,"2025-01-23"
"POKHARA FINANCE LTD","PFL",879,394,407.4,386.2,398.9,"2025-01-22"
"POKHARA FINANCE LTD","PFL",724,431.7,431.7,400,402,"2025-01-21"
"POKHARA FINANCE LTD","PFL",1210,427.3,437,404,423.3,"2025-01-20"
"POKHARA FINANCE LTD","PFL",1900,424.4,450.4,389.7,436,"2025-01-19"
"POKHARA FINANCE LTD","PFL",1894,471.5,471.5,433,433,"2025-01-16"
"POKHARA FINANCE LTD","PFL",1749,518.5,518.5,476.1,481.1,"2025-01-15"
"POKHARA FINANCE LTD","PFL",470,515,532,512,529,"2025-01-13"
"POKHARA FINANCE LTD","PFL",623,550,550,515,522,"2025-01-12"
"POKHARA FINANCE LTD","PFL",1201,582.6,582.6,540.2,550,"2025-01-09"
"POKHARA FINANCE LTD","PFL",684,557.1,600,555,582.6,"2025-01-08"
"POKHARA FINANCE LTD","PFL",460,530,563,525,557,"2025-01-07"
"POKHARA FINANCE LTD","PFL",345,520,525,512.5,522.9,"2025-01-06"
"POKHARA FINANCE LTD","PFL",409,522,532.1,515,515.1,"2025-01-05"
"POKHARA FINANCE LTD","PFL",441,535,538,518.5,522,"2025-01-02"
"POKHARA FINANCE LTD","PFL",787,519.3,550,489.1,538.9,"2025-01-01"
"POKHARA FINANCE LTD","PFL",337,565.5,565.5,519.3,519.3,"2024-12-31"
"POKHARA FINANCE LTD","PFL",607,609,610,572,577,"2024-12-29"
"POKHARA FINANCE LTD","PFL",264,630,630,613,618,"2024-12-26"
"POKHARA FINANCE LTD","PFL",380,618,650,618,631,"2024-12-24"
"POKHARA FINANCE LTD","PFL",224,629.6,632.1,615,623.8,"2024-12-23"
"POKHARA FINANCE LTD","PFL",202,619,629,611,619.8,"2024-12-22"
"POKHARA FINANCE LTD","PFL",244,643,645,624,630,"2024-12-19"
"POKHARA FINANCE LTD","PFL",326,635,650,626.1,649,"2024-12-18"
"POKHARA FINANCE LTD","PFL",335,607.6,633,607.6,623.9,"2024-12-17"
"POKHARA FINANCE LTD","PFL",416,644,649,618,620,"2024-12-16"
"POKHARA FINANCE LTD","PFL",355,670,710,656.6,657,"2024-12-12"
"POKHARA FINANCE LTD","PFL",255,666,690,658,683,"2024-12-11"
"POKHARA FINANCE LTD","PFL",194,674,680,661,667.9,"2024-12-10"
"POKHARA FINANCE LTD","PFL",355,645.1,674,645.1,674,"2024-12-09"
"POKHARA FINANCE LTD","PFL",370,665,678,650,650.1,"2024-12-08"
"POKHARA FINANCE LTD","PFL",512,696,700,662,669,"2024-12-05"
"POKHARA FINANCE LTD","PFL",401,719,719,691.1,695.1,"2024-12-04"
"POKHARA FINANCE LTD","PFL",502,695,727.2,695,705,"2024-12-03"
"POKHARA FINANCE LTD","PFL",568,716,724,691,692,"2024-12-02"
"POKHARA FINANCE LTD","PFL",509,710,725,697.8,716,"2024-12-01"
"POKHARA FINANCE LTD","PFL",738,743.9,743.9,710.1,712,"2024-11-28"
"POKHARA FINANCE LTD","PFL",644,758.8,758.8,730,734,"2024-11-27"
"POKHARA FINANCE LTD","PFL",756,740,760,731,744,"2024-11-26"
"POKHARA FINANCE LTD","PFL",742,744.6,750,730,740,"2024-11-25"
"POKHARA FINANCE LTD","PFL",675,737,756,722,730,"2024-11-24"
"POKHARA FINANCE LTD","PFL",691,770,779,730,736,"2024-11-21"
"POKHARA FINANCE LTD","PFL",609,788.4,788.4,763,770,"2024-11-20"
"POKHARA FINANCE LTD","PFL",1862,745,794.9,745,773,"2024-11-19"
"POKHARA FINANCE LTD","PFL",968,780.3,780.3,735,743,"2024-11-17"
"POKHARA FINANCE LTD","PFL",1148,761,794,761,765,"2024-11-14"
"POKHARA FINANCE LTD","PFL",2253,699,761.6,699,761.6,"2024-11-13"
"POKHARA FINANCE LTD","PFL",744,669,713.9,664.2,692.4,"2024-11-12"
"POKHARA FINANCE LTD","PFL",346,683,688.6,661.1,669,"2024-11-11"
"POKHARA FINANCE LTD","PFL",396,655,677.9,652,674,"2024-11-10"
"POKHARA FINANCE LTD","PFL",209,668.6,668.6,648.79,655,"2024-11-06"
"POKHARA FINANCE LTD","PFL",101,667,672,652.1,656.9,"2024-11-05"
"POKHARA FINANCE LTD","PFL",243,670,675.8,645.1,660,"2024-10-30"
"POKHARA FINANCE LTD","PFL",486,681,688,655,669,"2024-10-29"
"POKHARA FINANCE LTD","PFL",384,657.9,670,638,669,"2024-10-28"
"POKHARA FINANCE LTD","PFL",203,655,655,634,645.8,"2024-10-27"
"POKHARA FINANCE LTD","PFL",226,657.5,660,640,643,"2024-10-24"
"POKHARA FINANCE LTD","PFL",403,666,670.1,638,652,"2024-10-23"
"POKHARA FINANCE LTD","PFL",302,621.8,663,621.8,653,"2024-10-22"
"POKHARA FINANCE LTD","PFL",318,650.1,662,628,630,"2024-10-21"
"POKHARA FINANCE LTD","PFL",609,660,683,635,650.1,"2024-10-20"
"POKHARA FINANCE LTD","PFL",933,650,709,632,672.2,"2024-10-17"
"POKHARA FINANCE LTD","PFL",204,653.8,655.5,633.2,645,"2024-10-16"
"POKHARA FINANCE LTD","PFL",144,620.1,649.9,620.1,643,"2024-10-15"
"POKHARA FINANCE LTD","PFL",145,617,632,610,620,"2024-10-09"
"POKHARA FINANCE LTD","PFL",148,637,643,619,620,"2024-10-08"
"POKHARA FINANCE LTD","PFL",373,665,675,640,640,"2024-10-07"
"POKHARA FINANCE LTD","PFL",455,637.5,665,615.1,665,"2024-10-06"
"POKHARA FINANCE LTD","PFL",598,632.2,637.5,596,637.5,"2024-10-02"
"POKHARA FINANCE LTD","PFL",573,569,620,566.9,619.9,"2024-10-01"
"POKHARA FINANCE LTD","PFL",149,564.8,564.8,520,564,"2024-09-30"
"POKHARA FINANCE LTD","PFL",228,554,554,526.6,553.8,"2024-09-29"
"POKHARA FINANCE LTD","PFL",318,552,565,512,565,"2024-09-26"
"POKHARA FINANCE LTD","PFL",224,525,551,508,544.9,"2024-09-25"
"POKHARA FINANCE LTD","PFL",425,565,572,518,530,"2024-09-24"
"POKHARA FINANCE LTD","PFL",331,580.1,597.8,537.1,568,"2024-09-23"
"POKHARA FINANCE LTD","PFL",187,573.9,608.6,573.9,590,"2024-09-22"
"POKHARA FINANCE LTD","PFL",309,580.5,584,568.4,584,"2024-09-18"
"POKHARA FINANCE LTD","PFL",396,605,613.9,579,580.5,"2024-09-16"
"POKHARA FINANCE LTD","PFL",442,637,638,606,607,"2024-09-15"
